fl_iter,main_task_acc(k),backdoor_acc(k),raw_task_acc(k),adv_norm_diff(k),wg_norm(k),main_task_acc(mk),backdoor_acc(mk),raw_task_acc(mk),adv_norm_diff(mk),wg_norm(mk)
90,10,0,0,0,87.552742,26.32,0,8.5,0,87.11923981
91,10,0,0,0.8249921799,87.54673767,25.45,0.5102040816,0,1.839438558,87.11249542
92,10,0,0,0,87.54118347,25.9,0,0.4,0,87.09500122
93,10.28,0,0,0,87.53955841,30.29,0,0,0,87.08714294
94,10.03,0,0,0,87.53108978,28.71,4.591836735,30.4,0,87.07685852
95,10,0,0,0,87.52960205,25.8,0.5102040816,27,0,87.06785583
96,10,0,0,0,87.52372742,30.78,0,0,0,87.05815125
97,10,0,0,0,87.51260376,28.65,31.63265306,83.6,0,87.04766083
98,10,0,0,0,87.51158142,26.42,19.3877551,92.7,0,87.03773499
99,10,0,0,0,87.50618744,27.24,0.5102040816,35.3,0,87.03361511
100,10,0,0,0,87.503685,26.28,25,91.6,0,87.02349854
101,10,0,0,0.9809494615,87.49377441,25.28,4.081632653,7.8,1.827761769,87.0128479
102,10,0,0,0,87.49027252,29.6,1.020408163,10.9,0,86.99594879
103,10,0,0,0,87.48132324,27.31,0,0,0,86.99200439
104,10,0,0,0,87.47839355,30.57,7.142857143,12.9,0,86.98543549
105,11.34,21.93877551,17.4,0,87.47610474,30.44,26.53061224,91.9,0,86.9747467
106,10.51,0,0,0,87.46994781,25.56,0,0,0,86.97142029
107,10,0,0,0,87.46844482,25.65,26.02040816,43.9,0,86.96329498
108,10,0,0,0,87.44415283,25.38,0,0,0,86.94545746
109,10,0,0,0,87.43920135,29.96,0,0,0,86.93785095
110,10,0,0,0,87.43359375,29.61,0,0,0,86.93757629
111,10,0,0,0.7368919253,87.43038177,27.43,0,0,1.972981691,86.92899323
112,10,0,0,0,87.42398834,28.64,0,0,0,86.91680145
113,10,0,0,0,87.42121124,30.17,0,0,0,86.90355682
114,10,0,0,0,87.41213989,30.8,4.081632653,67.3,0,86.90097809
115,10,0,0,0,87.40644073,30.37,12.75510204,85.3,0,86.89300537
116,10,0,0,0,87.3972702,31.86,0,0,0,86.88539124
117,10,0,0,0,87.39305878,30.44,9.693877551,85.7,0,86.88080597
118,10,0,0,0,87.38316345,29.9,0,0,0,86.86615753
119,10,0,0,0,87.37676239,31.49,0.5102040816,18.1,0,86.86478424
120,10,0,0,0,87.37107086,25.03,21.42857143,93.3,0,86.84542847
121,10,0,0,0.7461928725,87.36978149,32.16,2.551020408,7.5,1.86097455,86.84211731
122,10,0,0,0,87.36514282,34.13,10.20408163,88.3,0,86.83306122
123,10,0,0,0,87.36095428,29.62,0,0.1,0,86.82649231
124,10,0,0,0,87.35864258,31.61,0,0,0,86.82209778
125,10,0,0,0,87.35739136,30.17,9.693877551,68,0,86.81420898
126,10,0,0,0,87.35115814,29.07,17.85714286,91.8,0,86.80332184
127,10,0,0,0,87.3433609,32.24,4.081632653,42.8,0,86.7971344
128,10,0,0,0,87.33803558,35.06,0.5102040816,1,0,86.78765106
129,10,0,0,0,87.33425903,32.8,15.30612245,82.8,0,86.7824707
130,10,0,0,0,87.33045197,32.78,0,0.6,0,86.77720642
131,10,0,0,0.7790486217,87.32093048,35.73,0.5102040816,4.1,2.104516029,86.77235413
132,10,0,0,0,87.31710052,36.73,1.020408163,28.8,0,86.76176453
133,10,0,0,0,87.30567169,30.2,14.79591837,91,0,86.75429535
134,10,0,0,0,87.29982758,32.26,13.26530612,89.9,0,86.74789429
135,10,0,0,0,87.2939682,33.63,0.5102040816,4.6,0,86.74016571
136,10,0,0,0,87.28923035,33.53,0,0,0,86.73272705
137,10,0,0,0,87.28295898,32.23,1.020408163,7.4,0,86.72425842
138,10,0,0,0,87.27600098,36.74,9.183673469,73.4,0,86.71669006
139,10,0,0,0,87.26546478,32.98,6.12244898,85.8,0,86.70469666
140,10,0,0,0,87.26146698,31.93,2.551020408,25.8,0,86.69799042
141,10,0,0,0.8436542749,87.25246429,36.6,10.71428571,80.5,2.081119537,86.68789673
142,10,0,0,0,87.24652863,35.55,8.163265306,28.5,0,86.67624664
143,10,0,0,0,87.24230957,38.65,4.591836735,15.2,0,86.6739502
144,10,0,0,0,87.23976135,38.25,0,0,0,86.66784668
145,10,0,0,0,87.23446655,34.52,18.87755102,49.1,0,86.66802216
146,10,0,0,0,87.23210144,30.65,6.632653061,72.5,0,86.65478516
147,10,0,0,0,87.23081207,34.12,4.591836735,41.6,0,86.64948273
148,10,0,0,0,87.21813202,36.47,13.7755102,89.9,0,86.63976288
149,10,0,0,0,87.21476746,38.75,0,0,0,86.63088226
150,10,0,0,0,87.21144104,38.34,2.551020408,2.7,0,86.62841034
151,10,0,0,0.8866389394,87.20677948,38.71,5.102040816,76.4,1.938075542,86.61988831
152,10,0,0,0,87.20435333,38.74,4.591836735,30.8,0,86.60803986
153,10,0,0,0,87.20048523,36.32,2.551020408,26.4,0,86.60430145
154,10,0,0,0,87.1917038,36.98,1.530612245,1.7,0,86.59610748
155,10,0,0,0,87.1893692,35.88,0,2.9,0,86.58627319
156,10,0,0,0,87.18408203,34.43,2.040816327,28.8,0,86.57759857
157,10,0,0,0,87.17923737,37.63,1.020408163,5.2,0,86.56906891
158,10,0,0,0,87.17394257,38.06,1.530612245,20.1,0,86.55935669
159,10,0,0,0,87.17036438,37.62,0,14,0,86.55704498
160,10,0,0,0,87.16743469,35.16,16.32653061,55.7,0,86.5512085
161,10,0,0,0.7467961311,87.1583252,42.39,3.571428571,46.3,2.025349379,86.5461731
162,10,0,0,0,87.15284729,38.58,0.5102040816,0.8,0,86.5306778
163,10,0,0,0,87.14862823,36.34,10.20408163,79.9,0,86.5328064
164,10,0,0,0,87.13973236,37.41,2.551020408,17.2,0,86.52643585
165,10,0,0,0,87.13670349,29.97,35.71428571,96.7,0,86.5207901
166,10,0,0,0,87.13212585,39.8,2.551020408,40.1,0,86.51578522
167,10,0,0,0,87.12717438,30.82,11.73469388,23.7,0,86.50048828
168,10,0,0,0,87.11682129,41.82,2.551020408,17.3,0,86.49411011
169,10,0,0,0,87.10770416,34.95,9.183673469,52.1,0,86.47629547
170,10,0,0,0,87.10561371,41.9,6.632653061,59.6,0,86.47483826
171,10,0,0,0.7124439478,87.10443878,32.67,0,1.1,1.992858171,86.46865082
172,10,0,0,0,87.09941864,37.06,8.163265306,55.6,0,86.46217346
173,10,0,0,0,87.09625244,35.84,6.12244898,32.7,0,86.44959259
174,10,0,0,0,87.09106445,39.09,3.06122449,56.2,0,86.44576263
175,10,0,0,0,87.08770752,31.72,10.71428571,32.6,0,86.44100952
176,10,0,0,0,87.08333588,34.35,10.20408163,83.2,0,86.43654633
177,10,0,0,0,87.0738678,37.94,3.06122449,1.5,0,86.4283905
178,10,0,0,0,87.07046509,35.95,3.571428571,9.3,0,86.42433929
179,10,0,0,0,87.06183624,34.09,0,0,0,86.42205811
180,10,0,0,0,87.0606308,35.68,12.75510204,91.6,0,86.41589355
181,10,0,0,0.6905836463,87.0582962,43.11,7.653061224,33.5,1.877847791,86.40602112
182,10,0,0,0,87.05495453,42.87,2.551020408,24.9,0,86.39656067
183,10,0,0,0,87.04708099,38.28,0,0.3,0,86.39267731
184,10,0,0,0,87.04080963,42.85,2.551020408,37.4,0,86.38977814
185,10,0,0,0,87.03770447,41.42,7.653061224,80.1,0,86.3802948
186,10,0,0,0,87.03412628,31.5,0,0.1,0,86.37407684
187,10,0,0,0,87.02597046,37.93,15.81632653,91.1,0,86.37328339
188,10,0,0,0,87.02035522,38.43,2.040816327,11.6,0,86.35656738
189,10,0,0,0,87.01715851,40.32,3.571428571,12.2,0,86.3526535
190,10,0,0,0,87.0111618,45.5,8.163265306,40.8,0,86.34831238
191,10,0,0,0.6608707309,87.00577545,42.82,1.530612245,2.9,2.19265914,86.34316254
192,10,0,0,0,87.00045776,40.99,9.693877551,80.9,0,86.33744812
193,10,0,0,0,86.99726868,42.6,0,9.6,0,86.33582306
194,10,0,0,0,86.99433899,39.54,3.06122449,13.9,0,86.32538605
195,10,0,0,0,86.99214935,44.64,6.632653061,72.2,0,86.32296753
196,10,0,0,0,86.98735046,41.43,1.020408163,6,0,86.31807709
197,10,0,0,0,86.98420715,41.54,10.71428571,92.6,0,86.31089783
198,10,0,0,0,86.97919464,43.25,0.5102040816,5.3,0,86.30213165
199,10,0,0,0,86.97319031,41.38,1.530612245,8.3,0,86.29779053
200,10,0,0,0,86.97093201,38.49,27.04081633,97.9,0,86.29708099
